x,y,covariance
-0.08,-0.23,"[[1.09454523e-09 9.29540039e-11]
 [9.29540039e-11 5.10558078e-11]]"
-0.08,0.01,"[[9.84313122e-10 8.01395646e-10]
 [8.01395646e-10 3.01461477e-09]]"
-0.08,-0.01,"[[1.98563020e-09 6.33085097e-10]
 [6.33085097e-10 2.26571353e-09]]"
-0.08,0.08,"[[ 8.47711334e-10 -3.05327275e-11]
 [-3.05327275e-11  2.66947783e-09]]"
-0.08,-0.08,"[[1.30552576e-09 3.77867115e-10]
 [3.77867115e-10 2.22693771e-09]]"
-0.08,0.16,"[[ 3.62999620e-09 -2.76886475e-10]
 [-2.76886475e-10  6.79191620e-10]]"
-0.08,-0.16,"[[ 1.36608748e-09 -5.04935188e-10]
 [-5.04935188e-10  5.82051546e-10]]"
-0.08,0.05,"[[ 7.39339957e-10 -7.68205930e-12]
 [-7.68205930e-12  3.43825685e-09]]"
-0.08,-0.05,"[[ 1.14940270e-09 -1.99986205e-12]
 [-1.99986205e-12  2.32857294e-09]]"
-0.08,0.1,"[[ 2.14908384e-09 -1.34652373e-09]
 [-1.34652373e-09  2.08345295e-09]]"
-0.08,-0.1,"[[1.52536578e-09 5.84754475e-10]
 [5.84754475e-10 3.18637393e-09]]"
-0.08,0.03,"[[1.82737081e-09 1.04273844e-09]
 [1.04273844e-09 1.43690413e-09]]"
-0.08,-0.03,"[[1.48991032e-09 3.39131340e-10]
 [3.39131340e-10 2.21813545e-09]]"
-0.08,0.12,"[[5.92505358e-10 5.34884248e-11]
 [5.34884248e-11 1.78087337e-09]]"
-0.08,-0.12,"[[ 4.14764114e-09 -1.73181161e-09]
 [-1.73181161e-09  1.58301567e-09]]"
-0.08,0.21,"[[2.79124983e-09 1.82826787e-09]
 [1.82826787e-09 2.02881869e-09]]"
-0.08,-0.21,"[[ 1.13186078e-09 -2.29605258e-10]
 [-2.29605258e-10  2.00836213e-10]]"
-0.08,0.14,"[[ 2.43546334e-09 -5.58882994e-10]
 [-5.58882994e-10  4.92501897e-10]]"
-0.08,-0.14,"[[ 3.10661239e-09 -1.50482228e-09]
 [-1.50482228e-09  1.39515353e-09]]"
0.16,0.25,"[[3.60283870e-09 8.17678530e-09]
 [8.17678530e-09 2.07992974e-08]]"
0.16,-0.25,"[[3.50017793e-09 3.56471582e-10]
 [3.56471582e-10 1.00028322e-09]]"
0.16,0.18,"[[5.34318798e-09 3.46838042e-09]
 [3.46838042e-09 5.40262398e-09]]"
0.16,-0.18,"[[2.12872493e-09 1.31789480e-10]
 [1.31789480e-10 2.76223859e-09]]"
0.16,0.23,"[[4.09212039e-09 1.01582391e-08]
 [1.01582391e-08 2.58489075e-08]]"
