x,y,covariance
0.16,0.16,"[[4.61731655e-09 1.08854443e-08] [1.08854443e-08 2.62552552e-08]]"
0.16,-0.16,"[[3.16152710e-09 1.08539357e-09] [1.08539357e-09 1.96962638e-09]]"
0.16,0.05,"[[ 2.80366480e-06 -6.78324909e-06] [-6.78324909e-06  2.76322252e-05]]"
0.16,-0.05,"[[4.25974011e-09 6.04763971e-08] [6.04763971e-08 9.82499543e-07]]"
0.16,0.1,"[[3.16801463e-09 5.41399233e-09] [5.41399233e-09 1.17732080e-08]]"
0.16,-0.1,"[[2.23305423e-09 3.31215887e-09] [3.31215887e-09 4.91309371e-09]]"
0.16,0.03,"[[ 3.70332888e-09 -5.68248450e-08] [-5.68248450e-08  8.73188714e-07]]"
0.16,-0.03,"[[ 7.88983186e-09 -3.43537848e-08] [-3.43537848e-08  4.99019873e-07]]"
0.16,0.12,"[[3.12405954e-09 7.10202753e-09] [7.10202753e-09 1.72614752e-08]]"
0.16,-0.12,"[[2.51333430e-09 2.27893028e-09] [2.27893028e-09 2.16810326e-09]]"
0.16,0.21,"[[6.25487055e-09 1.51136777e-08] [1.51136777e-08 3.71670236e-08]]"
0.16,-0.21,"[[3.23226857e-09 6.96575482e-10] [6.96575482e-10 3.11766672e-09]]"
0.16,0.14,"[[3.61092153e-09 8.57703260e-09] [8.57703260e-09 2.13672564e-08]]"
0.16,-0.14,"[[2.70122619e-09 1.85390868e-09] [1.85390868e-09 1.73855042e-09]]"
-0.16,0.25,"[[4.10593554e-09 1.85243928e-09] [1.85243928e-09 5.02820342e-09]]"
